episode,timestep,reward,waiting_time,mean_speed,elapsed_s
1,720,-1530.7604,471.9615,0.638,63.58
2,1440,-1285.2307,468.5285,0.7303,123.81
3,2160,-1472.9902,248.5436,0.718,187.88
4,2880,-1304.4592,383.2903,0.9907,247.98
5,3600,-1351.0807,524.8304,0.5714,313.68
6,4320,-1162.8197,461.5753,0.9194,370.3
7,5040,-1100.1599,486.0986,0.7591,425.82
8,5760,-1022.1804,206.1457,0.9757,482.61
9,6480,-985.7399,315.1748,0.7499,542.39
10,7200,-819.8798,343.6295,0.9217,599.11
11,7920,-589.6198,399.3544,1.2582,647.59
12,8640,-402.56,301.5244,2.1437,687.37
13,9360,-918.3505,285.2,1.1109,741.69
14,10080,-623.9501,360.1633,1.3578,785.12
15,10800,-374.84,286.3988,1.7539,826.77
16,11520,-566.26,260.8462,1.4041,869.51
17,12240,-502.9001,419.079,1.5287,909.41
18,12960,-629.2901,425.5704,0.9169,925.08
19,13680,-848.9598,339.3403,1.1431,942.3
20,14400,-528.5297,410.7265,1.3859,956.47
21,15120,-468.16,325.2305,1.7496,971.4
22,15840,-568.7599,341.385,1.2569,985.79
23,16560,-626.4904,313.6709,1.362,1000.63
24,17280,-795.9405,320.6031,1.1524,1018.38
25,18000,-930.0805,374.2463,0.8991,1036.69
26,18720,-892.2103,296.6772,1.2644,1053.72
27,19440,-547.54,305.3589,1.1921,1069.24
28,20160,-501.5698,369.2292,1.8439,1083.33
29,20880,-500.4601,243.2658,1.8041,1097.29
30,21600,-780.6601,379.1079,1.2647,1112.57
31,22320,-750.6797,418.1379,0.9853,1127.8
32,23040,-650.5399,460.3042,0.9733,1142.65
33,23760,-1008.79,274.5516,0.8887,1160.85
34,24480,-782.0197,398.0,0.8359,1177.91
35,25200,-758.5499,328.0287,1.1484,1197.64
36,25920,-882.98,459.1991,0.9254,1217.47
37,26640,-332.9799,120.5302,1.6206,1232.61
38,27360,-552.9198,393.6085,1.4411,1249.1
39,28080,-645.8696,301.3546,1.0417,1266.0
40,28800,-231.65,292.4756,1.7821,1279.76
41,29520,-288.6301,327.6302,1.8105,1291.94
42,30240,-376.6699,379.4788,1.3191,1305.29
43,30960,-329.1,80.2857,1.8362,1318.91
44,31680,-311.8602,303.1451,1.6031,1332.19
45,32400,-352.2096,332.6295,1.6532,1346.01
46,33120,-266.4001,62.5,2.1824,1359.58
47,33840,-390.9099,443.649,1.2243,1374.52
48,34560,-314.2301,333.6825,1.6025,1389.12
49,35280,-471.8799,344.4677,1.2607,1407.33
50,36000,-295.0198,353.5572,1.6879,1421.36
51,36720,-223.02,320.9468,1.6091,1434.79
52,37440,-339.4598,310.9302,1.91,1449.1
53,38160,-433.3802,286.8916,1.3723,1463.03
54,38880,-603.7499,311.3899,1.7159,1478.61
55,39600,-404.6198,298.7464,1.4296,1491.74
56,40320,-485.8901,314.5674,1.454,1506.84
57,41040,-202.6199,70.2837,3.0761,1518.08
58,41760,-283.6,32.2298,2.4516,1529.96
59,42480,-369.18,337.6804,1.6747,1543.99
60,43200,-499.1299,321.2292,1.8982,1559.87
61,43920,-328.4299,353.3529,1.9118,1571.54
62,44640,-241.4301,180.8633,2.2996,1583.27
63,45360,-469.1099,348.871,1.6443,1597.32
64,46080,-429.6298,320.9122,2.9457,1613.17
65,46800,-526.9203,311.0824,1.292,1628.91
66,47520,-638.3397,287.4684,1.3973,1645.55
67,48240,-702.63,406.8163,0.9442,1659.88
68,48960,-335.6201,355.567,1.6885,1672.35
69,49680,-534.4102,453.7937,1.201,1686.91
70,50400,-387.1999,376.2326,2.4228,1698.79
71,51120,-624.8998,413.832,1.2045,1714.27
72,51840,-490.0998,410.8148,1.8949,1727.94
73,52560,-212.3399,350.3956,2.8789,1738.92
74,53280,-586.8203,367.08,1.6318,1752.22
75,54000,-386.3101,343.5347,2.089,1764.42
76,54720,-786.9694,259.3175,1.1626,1779.52
77,55440,-415.9198,72.5865,2.1779,1793.26
78,56160,-412.96,403.595,1.952,1807.36
79,56880,-202.3301,308.6942,2.0356,1818.96
80,57600,-498.5002,192.5311,1.7992,1832.63
81,58320,-659.6,285.8864,1.3985,1847.84
82,59040,-410.0201,267.297,1.6912,1860.86
83,59760,-592.2898,383.0,1.1921,1874.11
84,60480,-345.21,322.9371,1.5872,1887.19
85,61200,-812.1599,272.1508,1.1129,1903.71
86,61920,-637.3099,356.5064,1.2191,1919.91
87,62640,-432.5101,256.961,1.6898,1932.5
88,63360,-445.7003,384.4462,1.6752,1945.92
89,64080,-423.8899,285.5223,1.782,1958.8
90,64800,-444.9699,304.4224,1.8431,1971.45
91,65520,-846.6898,403.8591,1.1847,1987.45
92,66240,-510.73,302.4338,1.9274,2000.11
