episode,timestep,reward,waiting_time,mean_speed,elapsed_s
1,720,-10.56,1056.0,0.0586,44.78
2,1440,-18.7,1870.0,0.0167,95.75
3,2160,-16.07,1607.0,0.1539,138.5
4,2880,-1.9,190.0,0.3008,177.91
5,3600,-3.37,337.0,0.3186,216.81
6,4320,-4.89,489.0,0.2376,258.74
7,5040,-3.31,331.0,0.285,309.39
8,5760,-0.97,97.0,0.0579,344.82
9,6480,-3.18,318.0,0.0004,373.31
10,7200,-8.21,821.0,0.0466,405.84
11,7920,-1.2,120.0,0.0688,429.96
12,8640,-18.59,1859.0,0.0033,454.12
13,9360,-0.4,40.0,0.335,474.26
14,10080,-3.33,333.0,0.016,493.72
15,10800,-0.26,26.0,0.4718,513.92
16,11520,-0.66,66.0,0.4354,532.41
17,12240,-0.39,39.0,0.1366,555.99
18,12960,-0.96,96.0,0.0302,583.81
19,13680,-0.04,4.0,0.8803,609.51
20,14400,-0.05,5.0,0.0181,635.2
21,15120,-0.93,93.0,0.0911,662.89
22,15840,-0.26,26.0,0.428,687.47
23,16560,-0.02,2.0,0.3523,706.99
24,17280,-11.27,1127.0,0.3116,726.23
25,18000,-0.07,7.0,0.4585,746.8
26,18720,-0.57,57.0,0.1951,766.09
27,19440,-0.15,15.0,0.04,782.72
28,20160,-1.06,106.0,0.2943,800.26
29,20880,-0.02,2.0,0.8549,818.79
30,21600,-0.09,9.0,0.727,836.15
31,22320,-0.02,2.0,0.748,852.24
32,23040,-1.27,127.0,0.3416,873.1
33,23760,-0.02,2.0,0.7518,896.01
34,24480,-0.08,8.0,0.7804,916.62
35,25200,-0.02,2.0,0.7776,937.79
36,25920,-1.1,110.0,0.0896,957.53
37,26640,-0.14,14.0,0.1474,979.27
38,27360,-0.34,34.0,0.4863,999.62
39,28080,-0.23,23.0,0.559,1019.34
40,28800,-0.17,17.0,0.3118,1039.11
41,29520,0.0,0.0,0.1944,1054.84
42,30240,-0.02,2.0,0.778,1069.13
43,30960,-0.02,2.0,0.8514,1083.62
44,31680,-0.01,1.0,0.5875,1097.74
45,32400,-0.02,2.0,0.0005,1112.86
46,33120,-0.12,12.0,0.529,1130.01
47,33840,-0.46,46.0,0.2724,1145.66
48,34560,-0.02,2.0,0.687,1165.49
49,35280,-0.02,2.0,0.8342,1182.35
50,36000,-0.17,17.0,0.4768,1198.19
51,36720,-0.05,5.0,0.4013,1212.15
52,37440,-0.12,12.0,0.0013,1228.43
