episode,timestep,reward,waiting_time,mean_speed,elapsed_s
1,720,-0.77,0.8649,5.3649,7.78
2,1440,-1.37,0.6579,7.0862,13.53
3,2160,-0.59,0.6,4.2275,19.63
4,2880,-6.2,3.5,6.823,25.9
5,3600,-3.52,1.4,4.0445,31.86
6,4320,-11.77,11.2619,5.3283,37.69
7,5040,-4.15,0.8462,3.3971,43.5
8,5760,-0.38,0.1053,5.8619,49.6
9,6480,-0.5,0.8529,8.7928,55.49
10,7200,-1.42,0.6667,6.2798,61.6
11,7920,-2.32,1.6429,5.2282,68.06
12,8640,-0.93,2.225,5.8518,74.88
13,9360,-0.26,0.1667,7.3771,80.95
14,10080,-0.88,0.0,7.1841,86.88
15,10800,-1.89,0.275,4.0557,93.3
16,11520,-3.12,1.0286,4.9619,101.6
17,12240,-1.27,0.525,4.4413,108.58
18,12960,-5.26,10.7436,1.4967,114.15
19,13680,-0.91,0.6176,3.7951,119.78
20,14400,-4.84,1.5385,3.6219,125.85
21,15120,-0.61,0.5429,6.0745,130.98
22,15840,-0.47,0.275,5.6479,136.68
23,16560,-1.93,2.2286,3.312,142.39
24,17280,-1.8,0.7059,4.8653,148.27
25,18000,-2.35,4.7353,2.2636,154.11
26,18720,-1.96,1.8919,4.4489,159.7
27,19440,-0.3,0.2286,8.0115,165.53
28,20160,-0.21,0.4091,10.3483,171.46
29,20880,-0.74,0.6897,5.7065,176.75
30,21600,-0.26,0.1515,7.7645,182.37
31,22320,-0.81,0.2759,8.4601,188.37
32,23040,-0.33,0.0645,7.3883,193.76
33,23760,-1.16,0.8333,5.5454,199.19
34,24480,-2.51,0.2821,4.1006,205.2
35,25200,-0.19,0.4211,9.2288,210.91
36,25920,-0.49,0.1071,6.4636,216.05
37,26640,-1.29,0.7568,3.2439,221.66
38,27360,-0.69,0.3871,7.9589,227.45
39,28080,-0.91,0.2759,5.588,233.4
40,28800,-0.48,0.7826,4.2206,238.15
41,29520,-1.06,0.2821,4.663,243.94
42,30240,-0.62,0.697,6.9691,249.18
43,30960,-0.8,1.1154,5.1835,254.86
44,31680,-0.67,0.2857,7.0362,260.44
45,32400,-0.8,1.0385,4.3141,266.32
46,33120,-0.45,0.2162,7.1771,271.7
47,33840,-1.54,1.3871,5.4943,277.61
48,34560,-0.61,0.2593,6.6841,283.05
49,35280,-0.49,0.2432,6.2014,288.3
50,36000,-0.78,0.2581,5.9842,294.19
51,36720,-0.15,0.0435,9.0447,299.24
52,37440,-0.6,0.3636,7.2059,305.11
53,38160,-0.79,0.9333,5.9178,310.44
54,38880,-0.4,0.6364,5.9089,316.09
55,39600,-0.26,0.3,9.5653,321.78
56,40320,-0.66,0.2368,5.2362,327.71
57,41040,-1.02,0.8333,3.839,334.04
