episode,timestep,reward,waiting_time,mean_speed,elapsed_s
1,720,-6.3,2.6154,2.3887,8.21
2,1440,-2.81,1.4048,5.8224,13.92
3,2160,-0.35,0.037,8.6123,18.95
4,2880,-2.03,2.7931,6.0112,23.82
5,3600,-0.23,0.2857,8.641,28.1
6,4320,-2.52,3.1481,3.1501,33.13
7,5040,-0.9,0.0345,7.0432,37.81
8,5760,-0.07,0.3182,10.8566,42.43
9,6480,-0.06,0.0,8.4139,46.77
10,7200,-0.14,0.8235,8.9065,51.15
11,7920,-0.33,0.3125,5.8844,55.53
12,8640,-0.55,0.16,7.753,59.66
13,9360,-0.21,1.25,7.8369,63.78
14,10080,-0.15,0.3913,10.2262,67.78
15,10800,-0.26,0.0,8.1496,71.94
16,11520,-0.15,0.0833,8.2393,76.24
17,12240,-0.14,0.3043,10.5521,80.36
18,12960,-0.07,0.3333,10.9335,84.49
19,13680,-0.11,0.0,9.6797,88.61
20,14400,-0.33,0.4118,6.5805,92.73
21,15120,-0.29,1.45,9.6174,97.16
22,15840,-0.29,1.05,7.507,101.32
23,16560,-0.16,0.4211,8.4024,105.45
24,17280,-0.36,1.35,6.0924,109.45
25,18000,-0.39,0.7059,5.4895,113.47
26,18720,-0.27,0.0,7.8546,117.48
27,19440,-0.04,0.0,10.102,121.65
28,20160,-0.43,0.7273,6.6672,125.77
29,20880,-0.0,0.0,9.3941,129.71
30,21600,-0.33,0.2778,6.7867,133.7
31,22320,-0.32,0.5,7.1373,137.7
32,23040,-0.14,0.8235,8.8642,142.07
33,23760,-0.06,0.0,8.3948,146.09
34,24480,-0.3,1.4444,7.651,150.18
35,25200,-0.13,0.0,9.3747,154.32
36,25920,-0.2,0.2,8.2067,158.37
37,26640,-0.0,0.0,10.3029,162.66
38,27360,-0.47,0.7368,5.7153,166.71
39,28080,-0.14,0.0,8.0778,170.76
40,28800,-0.03,0.1667,8.5916,174.79
41,29520,-0.14,0.8235,9.0053,178.79
42,30240,-0.06,0.0,9.7813,182.87
43,30960,-0.2,0.0,9.1629,186.86
44,31680,-0.14,0.7778,8.6616,190.97
45,32400,-0.03,0.0,9.7608,194.95
46,33120,-0.06,0.0,10.1411,198.93
47,33840,-0.5,0.8571,6.3898,202.94
48,34560,-0.07,0.35,10.557,206.98
49,35280,-0.48,0.8095,6.3384,210.97
50,36000,-0.1,0.3182,10.5182,215.12
51,36720,-0.0,0.0,8.7687,219.07
52,37440,-0.27,1.35,9.8229,223.13
53,38160,0.0,0.0,8.9256,227.28
54,38880,-0.14,0.3043,10.5507,231.53
55,39600,-0.02,0.1429,8.0663,235.69
56,40320,-0.48,1.0,6.5017,239.69
57,41040,-0.0,0.0,9.0029,243.63
58,41760,-0.1,0.0,9.7792,247.58
59,42480,-0.09,0.0,9.8276,251.71
60,43200,-0.0,0.0,8.4792,255.8
61,43920,-0.22,0.3478,10.4347,259.78
62,44640,-0.24,0.0,8.5792,263.94
63,45360,-0.1,0.0,9.7516,267.92
64,46080,-0.17,0.3913,10.2973,272.12
65,46800,-0.18,0.0,8.7667,276.3
66,47520,0.0,0.0,9.2583,280.39
67,48240,-0.03,0.0,9.2813,284.44
68,48960,-0.08,0.0,8.8427,288.46
69,49680,-0.08,0.5,9.1102,292.59
70,50400,-0.13,0.0,9.3768,296.8
71,51120,-0.16,0.7895,8.8648,300.81
72,51840,-0.08,0.4444,10.6014,304.86
73,52560,-0.09,0.0,9.5126,308.89
74,53280,-0.22,0.3913,10.4842,312.96
75,54000,-0.32,0.1667,6.7985,317.06
76,54720,-0.11,0.0,9.7215,321.06
77,55440,-0.19,1.1176,8.8288,325.04
78,56160,-0.08,0.4444,10.6272,328.96
79,56880,-0.13,0.7647,8.9951,332.99
80,57600,-0.06,0.0,7.8072,336.99
81,58320,-0.11,0.0,9.7317,341.02
82,59040,-0.09,0.4286,10.7849,345.0
83,59760,-0.07,0.3333,10.5285,348.96
84,60480,-0.06,0.0,9.813,353.11
85,61200,-0.08,0.0455,8.9832,357.07
86,61920,-0.09,0.45,11.0657,361.3
87,62640,-0.11,0.0952,8.6605,365.43
88,63360,-0.07,0.35,10.9998,369.4
89,64080,-0.1,0.0,10.0875,373.44
90,64800,-0.32,0.2105,7.3087,377.4
91,65520,-0.18,1.0588,8.1018,381.49
92,66240,-0.12,0.0,9.3089,385.53
93,66960,-0.01,0.0,9.1704,389.52
94,67680,-0.06,0.0,9.5471,393.74
95,68400,-0.03,0.0,9.7239,397.75
96,69120,-0.05,0.0,9.7864,401.8
97,69840,-0.02,0.05,8.8548,405.77
98,70560,-0.2,0.2609,10.2326,409.71
99,71280,-0.22,0.9524,7.6463,413.8
100,72000,-0.06,0.0,8.9384,417.74
101,72720,-0.07,0.35,11.1273,421.78
102,73440,-0.17,0.7143,8.5818,425.82
103,74160,-0.01,0.0625,10.4721,429.74
104,74880,-0.04,0.1667,9.2176,433.74
105,75600,0.0,0.0,9.0487,437.68
106,76320,-0.1,0.0,9.4975,441.74
107,77040,-0.09,0.0,9.7446,445.75
108,77760,-0.21,0.7727,7.7823,449.81
109,78480,0.0,0.0,10.3425,453.83
110,79200,-0.08,0.4706,9.4643,457.82
111,79920,-0.05,0.0,10.2101,461.9
112,80640,-0.22,0.0,9.4007,465.93
113,81360,-0.13,0.7222,9.0652,469.95
114,82080,-0.25,1.15,8.233,474.06
115,82800,-0.03,0.1,8.9982,478.03
116,83520,-0.1,0.0,9.0785,482.22
117,84240,-0.03,0.05,8.9855,486.24
118,84960,-0.1,0.3182,10.3834,490.26
119,85680,-0.1,0.0,9.8652,494.3
120,86400,-0.01,0.0,8.8613,498.3
121,87120,-0.08,0.4,11.0239,502.37
122,87840,-0.4,1.5238,7.0815,506.34
123,88560,-0.08,0.381,10.6068,510.4
124,89280,-0.01,0.05,8.995,514.52
125,90000,-0.11,0.0,9.6533,518.56
126,90720,-0.09,0.45,10.5878,522.66
127,91440,-0.03,0.05,9.5045,526.69
128,92160,-0.18,0.0,9.2452,530.74
129,92880,-0.28,1.1905,8.4376,534.84
130,93600,-0.1,0.0,9.5673,538.89
131,94320,-0.03,0.15,8.9099,542.98
132,95040,-0.12,0.4,11.0743,547.02
133,95760,-0.11,0.0,9.6651,551.09
134,96480,-0.01,0.0588,9.0375,555.05
135,97200,-0.45,0.7143,6.3512,559.04
136,97920,-0.08,0.0476,8.6804,563.07
137,98640,-0.2,0.0,9.4802,567.09
138,99360,-0.13,0.6842,8.949,571.13
139,100080,-0.31,0.1765,6.5861,575.26
