episode,timestep,reward,waiting_time,mean_speed,elapsed_s
1,720,-1.58,1.8462,2.62,8.28
2,1440,-2.66,0.35,3.8288,15.67
3,2160,-2.0,1.0588,4.8299,23.18
4,2880,-3.9,1.9714,2.9846,30.13
5,3600,-18.47,4.6667,1.8617,36.91
6,4320,-1.63,1.2368,3.1869,43.82
7,5040,-1.64,0.7368,3.901,51.59
8,5760,-0.73,0.125,5.2538,60.23
9,6480,-0.85,0.3846,4.2755,67.32
10,7200,-1.07,0.8286,8.2314,74.46
11,7920,-5.29,1.725,3.6181,81.74
12,8640,-1.29,1.7692,4.0087,88.83
13,9360,-1.62,0.6286,4.9913,95.83
14,10080,-1.11,1.7941,9.3676,103.05
15,10800,-1.11,0.7714,3.9159,111.19
16,11520,-2.84,0.8286,4.9812,118.02
17,12240,-0.9,0.2286,8.0877,124.6
18,12960,-0.37,0.6154,7.3166,131.86
19,13680,-2.65,2.2,3.2597,139.09
20,14400,-0.55,0.225,5.6211,145.36
21,15120,-2.71,0.8333,3.126,152.52
22,15840,-0.84,0.8333,4.104,159.18
23,16560,-4.6,5.4545,2.3213,165.87
24,17280,-0.98,1.1034,3.6061,172.72
25,18000,-1.44,4.6071,8.5158,179.04
26,18720,-1.48,0.7805,4.098,186.33
27,19440,-0.69,1.0417,7.0236,192.43
28,20160,-1.35,0.8824,7.0753,198.97
29,20880,-0.48,0.8095,6.4652,205.98
30,21600,-0.87,1.6667,6.0581,212.09
31,22320,-2.75,8.0294,2.3068,218.81
32,23040,-0.49,0.2258,8.1994,224.62
33,23760,-0.57,1.2083,6.8164,231.69
34,24480,-3.04,0.9677,4.4839,238.1
35,25200,-0.23,0.0,8.79,244.16
36,25920,-2.07,3.8889,4.5802,250.49
37,26640,-1.74,1.1724,4.7907,257.23
38,27360,-1.11,0.48,6.9812,263.9
39,28080,-0.69,0.25,7.113,269.88
40,28800,-1.98,0.6053,4.8746,275.89
41,29520,-2.34,0.3077,4.3116,283.12
42,30240,-0.36,1.0769,10.4054,290.34
43,30960,-0.26,0.0909,7.939,297.4
44,31680,-0.35,0.069,7.5811,304.74
45,32400,-1.26,0.1364,6.3631,312.07
46,33120,-0.68,1.84,9.0877,319.16
47,33840,-1.06,0.7576,5.5268,326.1
48,34560,-0.65,0.8056,8.6464,332.44
49,35280,-0.32,0.0,8.2629,339.24
50,36000,-0.65,0.2083,8.429,345.6
51,36720,-1.81,0.1579,4.6216,352.83
52,37440,-1.28,0.3889,7.1018,359.84
53,38160,-2.0,1.0,3.1552,366.89
54,38880,-1.37,1.25,3.492,373.22
55,39600,-0.52,0.7391,7.6164,379.36
56,40320,-1.23,0.325,3.788,386.15
57,41040,-1.22,0.2381,4.069,391.78
58,41760,-3.86,0.6944,3.1084,396.91
59,42480,-0.78,0.2121,6.1885,401.55
60,43200,-2.12,0.3409,5.7009,406.68
61,43920,-1.77,0.275,4.5022,411.96
62,44640,-0.67,1.7941,9.055,417.15
63,45360,-1.3,0.1,4.397,422.43
64,46080,-1.96,0.1795,4.699,427.81
65,46800,-2.21,0.9459,2.8674,433.03
66,47520,-1.55,0.6053,3.8544,438.17
67,48240,-1.23,0.2051,4.2,443.4
68,48960,-0.36,0.8286,9.1209,449.21
69,49680,-2.51,1.0476,4.2589,454.59
70,50400,-1.68,0.275,4.4811,459.92
