episode,timestep,reward,waiting_time,mean_speed,elapsed_s
1,720,-0.77,0.8649,5.3649,29.94
2,1440,-1.37,0.6579,7.0862,62.19
3,2160,-0.59,0.6,4.2275,95.19
4,2880,-5.06,3.0,6.9938,128.2
5,3600,-3.4,1.5,3.9009,158.99
6,4320,-11.01,9.9762,5.5523,190.87
7,5040,-3.37,0.7436,3.5358,222.28
8,5760,-0.86,0.2368,5.704,258.01
9,6480,-0.61,0.8286,8.5208,348.57
10,7200,-1.0,0.7273,6.21,381.68
11,7920,-2.7,2.4524,5.5841,412.81
12,8640,-0.26,0.5405,6.5666,443.59
13,9360,-1.31,0.8205,3.7979,473.54
14,10080,-1.28,3.7647,8.7534,523.83
15,10800,-1.81,0.6,4.2459,600.71
16,11520,-2.78,0.8611,5.1771,683.19
17,12240,-0.85,0.3333,4.7359,741.32
18,12960,-5.74,10.6667,1.2817,777.54
19,13680,-0.96,0.25,5.6746,877.34
20,14400,-4.46,1.1795,3.5493,980.85
21,15120,-0.35,0.5758,5.9741,1084.91
22,15840,-1.22,0.6364,7.8567,1179.55
23,16560,-4.31,3.1765,2.997,1287.89
24,17280,-0.33,0.0385,8.1282,1387.47
25,18000,-0.85,0.9615,3.6513,1432.59
26,18720,-1.93,1.4865,4.3434,1466.74
27,19440,-0.36,0.2222,8.2411,1499.83
28,20160,-1.09,0.4062,7.6819,1533.49
29,20880,-0.31,0.2857,7.0664,1559.49
30,21600,-0.61,0.0,7.5939,1579.9
31,22320,-0.19,0.2174,8.1143,1599.46
32,23040,-0.36,0.0645,7.1552,1619.79
33,23760,-1.24,0.7188,4.8871,1642.71
34,24480,-2.21,0.5,4.7365,1664.92
35,25200,-2.16,2.1786,5.6033,1685.78
36,25920,-0.37,0.1034,6.0133,1705.8
37,26640,-0.11,0.0,9.8391,1723.37
38,27360,-0.37,0.913,6.1284,1740.64
39,28080,-1.2,0.697,7.3967,1759.71
40,28800,-1.23,1.1786,3.5959,1781.97
41,29520,-1.46,0.6176,5.616,1806.36
42,30240,-1.45,0.8824,3.5654,1833.36
43,30960,-0.81,0.2105,4.3803,1856.48
44,31680,-1.01,0.2632,4.6372,1880.18
45,32400,-0.14,0.0,7.9606,1903.84
46,33120,-0.51,1.1154,6.4838,1920.28
47,33840,-0.54,0.1852,6.6489,1939.56
48,34560,-0.5,0.2903,8.0085,1959.49
49,35280,-0.9,0.7429,3.5876,1981.2
50,36000,-1.4,0.8571,3.5985,2007.71
51,36720,-0.37,0.4211,6.4861,2025.81
52,37440,-0.81,0.3571,6.0094,2045.25
53,38160,-0.56,0.0556,6.2505,2067.28
54,38880,-0.37,0.027,7.0208,2091.92
55,39600,-0.43,0.0968,7.1769,2116.2
56,40320,-0.73,1.4348,4.2247,2139.22
57,41040,-1.04,0.8857,4.0205,2162.1
58,41760,-1.17,0.7778,5.1405,2187.55
59,42480,-0.6,0.2581,8.1582,2209.0
60,43200,-0.64,0.0909,6.64,2230.44
61,43920,-0.96,0.2051,4.5256,2256.0
62,44640,-0.26,0.1304,7.465,2277.55
63,45360,-0.5,0.1316,5.7349,2299.89
64,46080,-0.53,0.6087,4.3544,2324.98
65,46800,-0.26,0.0741,7.6993,2344.9
66,47520,-0.59,0.2162,4.887,2368.25
67,48240,-0.4,0.0286,7.6162,2393.34
68,48960,-1.72,0.8824,5.4249,2418.75
69,49680,-0.72,1.0,4.8161,2442.22
70,50400,-0.69,0.5676,4.3272,2465.91
71,51120,-0.96,0.2581,5.6017,2489.04
72,51840,-0.5,0.3,8.2336,2511.77
73,52560,-0.54,0.8286,6.3087,2534.86
74,53280,-0.25,1.4375,7.5758,2555.76
75,54000,-0.4,0.3529,6.338,2573.3
76,54720,-0.9,0.4138,6.147,2594.3
77,55440,-0.12,0.0,8.7613,2615.28
78,56160,-0.95,0.7778,5.1316,2635.82
79,56880,-0.8,0.2105,4.5095,2662.07
80,57600,-0.79,1.4737,5.3782,2682.26
81,58320,-1.51,3.2,3.8165,2700.85
82,59040,-0.7,1.2,3.9619,2720.66
83,59760,-0.53,0.0526,5.382,2745.79
84,60480,-0.44,0.25,8.6741,2770.35
85,61200,-1.71,0.35,5.8254,2794.4
86,61920,-0.88,0.4146,5.8838,2820.32
87,62640,-0.34,1.6667,7.6369,2839.48
88,63360,-0.2,0.3214,10.4486,2857.71
89,64080,-0.17,0.0625,8.1153,2878.93
90,64800,-0.54,0.3793,5.8556,2902.84
91,65520,-0.27,0.1071,8.3834,2924.85
92,66240,-0.89,0.3158,4.6774,2946.47
93,66960,-0.83,0.8571,5.0707,2972.26
94,67680,-0.77,0.9697,6.142,2997.94
95,68400,-0.5,0.7391,5.5292,3020.55
96,69120,-0.56,0.9677,6.5423,3041.17
97,69840,-0.48,0.1034,7.4236,3062.94
98,70560,-0.65,0.4242,7.4022,3085.9
99,71280,-1.23,1.1143,6.7551,3109.85
