episode,timestep,reward,waiting_time,mean_speed,elapsed_s
1,720,-10.56,31.9355,1.4042,231.99
2,1440,-18.7,31.4867,0.7323,499.35
3,2160,-16.07,20.656,1.8015,753.86
4,2880,-1.9,27.1905,1.4518,976.85
5,3600,-3.37,16.8163,2.1852,1171.34
6,4320,-4.89,18.0673,1.7658,1404.7
7,5040,-3.31,14.8308,2.591,1561.96
8,5760,-0.97,13.575,2.8381,1605.65
9,6480,-3.18,12.6415,1.2408,1650.96
10,7200,-8.21,39.9494,1.7654,1709.73
11,7920,-1.2,3.1852,3.8112,1746.65
12,8640,-18.59,16.0676,2.7554,1790.67
13,9360,-0.4,6.0167,3.3659,1827.76
14,10080,-3.33,9.8293,1.4383,1862.63
15,10800,-0.26,2.8108,4.799,1894.78
16,11520,-0.66,11.4118,3.7001,1924.44
17,12240,-0.39,0.8667,5.6379,1952.04
18,12960,-0.96,170.9388,1.6327,1991.33
19,13680,-0.04,0.6154,8.7047,2028.26
20,14400,-0.05,5.6818,5.2007,2061.92
21,15120,-0.93,8.0645,4.7485,2096.81
22,15840,-0.26,2.1667,5.4914,2128.41
23,16560,-0.02,1.8235,8.2816,2165.28
24,17280,-22.65,66.5263,3.2708,2231.2
25,18000,-0.08,9.4333,2.2621,2265.8
26,18720,-0.36,115.6226,2.9062,2301.81
27,19440,-0.14,12.9583,5.5961,2334.13
28,20160,-1.16,33.5862,2.8089,2367.68
29,20880,-0.02,0.1,7.7494,2398.48
30,21600,-0.25,57.1053,7.9234,2432.36
31,22320,-0.13,2.5789,8.0137,2464.77
32,23040,-0.3,1.2381,7.3337,2499.87
33,23760,-0.02,2.0556,6.4155,2532.21
34,24480,-0.02,0.8667,10.4175,2562.85
35,25200,-0.03,0.5556,6.8305,2598.91
36,25920,-0.96,4.381,8.6558,2627.37
37,26640,-0.04,0.2941,9.2564,2654.0
38,27360,-0.16,3.1333,3.3249,2682.28
39,28080,-0.03,2.15,7.3785,2708.66
40,28800,-0.02,0.4,6.9329,2732.66
41,29520,-0.01,0.28,8.467,2755.46
42,30240,-0.06,0.5789,8.9241,2778.61
43,30960,-36.91,279.4118,4.4122,2802.48
44,31680,-0.07,0.7391,7.8209,2825.0
45,32400,-0.03,1.75,8.9265,2847.46
46,33120,-0.05,1.08,6.7555,2869.72
47,33840,-0.34,2.0588,6.8201,2891.92
48,34560,-0.02,0.4,11.0169,2912.77
