episode,timestep,reward,waiting_time,mean_speed,elapsed_s
1,720,-116.52,75.7602,0.8354,110.45
2,1440,-227.03,153.1198,0.7339,161.52
3,2160,-81.1,26.9204,1.1869,224.87
4,2880,-89.7,38.2177,0.4331,316.92
5,3600,-119.87,25.0,1.3324,399.32
6,4320,-36.31,10.9268,1.671,466.13
7,5040,-43.24,33.0473,0.7259,532.04
8,5760,-84.05,8.547,1.3371,599.51
9,6480,-37.49,30.9829,0.6253,665.13
10,7200,-34.68,21.4667,1.7016,724.07
11,7920,-9.88,17.0,3.2745,773.34
12,8640,-9.74,10.3514,0.9575,819.8
13,9360,-8.5,7.3171,4.0741,862.54
14,10080,-8.87,26.2,4.3835,908.42
15,10800,-8.17,3.3448,5.1802,949.88
16,11520,-8.96,3.25,5.0306,991.01
17,12240,-8.08,2.1923,6.7345,1031.87
18,12960,-8.04,4.4333,4.0354,1073.24
19,13680,-8.18,1.1818,5.513,1115.62
20,14400,-8.0,7.1667,7.0849,1155.0
21,15120,-7.86,6.9259,4.8633,1193.95
22,15840,-7.73,1.4444,4.7053,1231.88
23,16560,-7.8,5.35,3.7791,1266.67
24,17280,-7.64,0.9524,6.6382,1373.74
25,18000,-7.66,1.0,7.494,1493.19
26,18720,-7.89,3.6,4.7532,1614.29
27,19440,-7.54,0.5926,8.4102,1737.01
28,20160,-7.62,0.9333,9.3235,1848.86
29,20880,-8.01,0.4545,8.0084,1970.47
30,21600,-7.96,3.85,7.8815,2096.1
31,22320,-7.62,1.4667,7.0023,2224.9
32,23040,-7.62,2.5667,5.46,2367.77
33,23760,-7.6,1.0,5.6408,2497.27
34,24480,-7.48,0.9,6.4279,2634.14
35,25200,-7.48,0.3889,9.0515,2765.69
36,25920,-7.38,0.1667,8.5058,2905.65
37,26640,-7.3,0.6471,8.3099,3040.8
38,27360,-7.32,2.6522,6.4234,3169.87
39,28080,-7.36,0.4286,9.8947,3291.29
40,28800,-7.41,0.7059,9.1749,3413.79
41,29520,-7.42,0.8889,7.7013,3532.14
42,30240,-7.28,0.5,8.8007,3653.0
43,30960,-7.32,0.0,8.86,3770.39
44,31680,-7.32,2.5556,6.9642,3881.03
45,32400,-7.32,0.3889,8.1589,4005.09
46,33120,-7.35,0.7143,9.7589,4122.26
47,33840,-7.25,0.3333,8.7034,4241.16
48,34560,-7.24,0.3077,10.8895,4366.13
49,35280,-7.24,0.85,8.3394,4487.18
50,36000,-7.24,0.8947,8.4654,4619.51
51,36720,-7.2,0.7,7.117,4738.2
52,37440,-7.2,0.2222,8.0048,4851.42
53,38160,-7.18,0.2143,9.8842,4980.28
54,38880,-7.24,0.8125,7.6038,5108.83
55,39600,-7.22,0.0,10.914,5239.16
56,40320,-7.22,1.1111,9.4457,5315.45
57,41040,-7.22,0.4667,9.1134,5358.66
58,41760,-7.22,0.3529,9.612,5403.72
59,42480,-7.2,0.3077,10.9098,5445.46
60,43200,-7.2,4.4286,5.9502,5488.93
61,43920,-7.24,0.6,8.1565,5529.88
62,44640,-7.25,0.6429,8.6722,5586.66
63,45360,-7.22,0.3529,8.4191,5626.88
64,46080,-7.18,0.4286,10.3464,5662.91
65,46800,-7.22,0.5333,10.1056,5701.34
66,47520,-7.25,1.1333,9.0357,5741.03
67,48240,-7.2,0.2353,9.3195,5780.76
68,48960,-7.18,0.6923,9.9777,5819.57
69,49680,-7.22,0.2143,7.2907,5859.82
70,50400,-7.18,0.1667,10.2324,5900.29
71,51120,-7.24,1.8462,8.808,5941.73
72,51840,-7.18,0.8125,7.7436,5983.32
73,52560,-7.18,0.4118,9.4359,6022.64
74,53280,-7.18,2.7143,8.1098,6063.23
75,54000,-7.27,1.0,10.6634,6105.77
76,54720,-7.18,1.0,7.78,6148.06
77,55440,-7.2,0.5263,8.8612,6191.14
78,56160,-7.18,0.3571,10.0052,6232.61
79,56880,-7.22,0.3125,8.8095,6274.85
80,57600,-7.2,0.2308,10.534,6321.55
81,58320,-7.22,0.5333,10.0581,6364.17
82,59040,-7.22,0.2,9.6785,6409.37
83,59760,-7.24,1.1429,9.8853,6450.38
84,60480,-7.2,0.0,11.1622,6490.32
85,61200,-7.18,0.0,10.945,6531.62
86,61920,-7.22,0.9231,8.5313,6577.53
87,62640,-7.24,0.5,11.9786,6619.29
88,63360,-7.22,0.6667,10.4793,6663.63
89,64080,-7.2,0.2,8.6314,6699.75
90,64800,-7.2,0.0,11.863,6739.41
91,65520,-7.33,1.2143,8.2213,6781.75
92,66240,-7.2,0.4706,9.7502,6826.7
93,66960,-7.2,0.8235,8.0119,6871.35
94,67680,-7.26,1.1765,7.5896,6914.96
95,68400,-7.2,0.6923,8.7553,6957.26
96,69120,-7.18,1.0714,8.1702,7000.74
97,69840,-7.28,2.0,8.8154,7046.41
98,70560,-7.18,0.3571,9.4337,7093.11
99,71280,-7.18,0.2143,10.4094,7137.19
100,72000,-7.22,0.3125,7.8946,7173.93
101,72720,-7.18,0.0,12.7211,7214.06
102,73440,-7.2,0.0,10.2735,7258.26
103,74160,-7.18,0.0,9.7888,7304.24
104,74880,-7.26,0.3889,6.6501,7347.68
105,75600,-7.22,0.3077,8.3103,7390.13
106,76320,-7.18,0.2941,8.0945,7436.49
107,77040,-7.18,0.7333,8.5667,7478.29
108,77760,-7.22,1.4615,7.0994,7519.85
109,78480,-7.23,0.0625,10.1943,7561.58
110,79200,-7.2,0.0,8.9516,7604.36
111,79920,-7.2,0.4167,10.6819,7645.77
112,80640,-7.24,0.0,11.6821,7685.97
113,81360,-7.2,0.4,9.3716,7727.41
114,82080,-7.24,1.1765,8.434,7767.56
115,82800,-7.22,0.8824,9.9792,7810.58
116,83520,-7.33,0.2353,8.9221,7851.93
117,84240,-7.33,0.2632,6.4204,7895.14
118,84960,-7.18,0.5,9.279,7937.06
119,85680,-7.18,0.3333,11.417,7978.03
120,86400,-7.2,0.0,11.7731,8019.97
121,87120,-7.2,0.0,9.8781,8060.39
122,87840,-7.2,0.3333,10.4184,8105.68
123,88560,-7.18,0.7778,9.144,8151.69
124,89280,-7.2,0.0,10.7203,8192.32
125,90000,-7.18,0.375,9.2026,8248.47
126,90720,-7.36,0.2857,9.5395,8379.59
127,91440,-7.22,1.8333,6.6635,8496.25
128,92160,-7.18,1.1765,9.0288,8617.29
129,92880,-7.18,0.3333,8.9338,8736.59
130,93600,-7.22,0.0,10.2869,8845.45
131,94320,-7.27,1.0588,7.0779,8960.29
132,95040,-7.22,0.0,7.9955,9072.35
133,95760,-7.32,0.8125,7.6045,9190.92
134,96480,-7.18,0.2308,11.0861,9305.6
135,97200,-7.24,0.2667,8.0324,9424.93
136,97920,-7.29,1.0,7.4645,9543.29
137,98640,-7.24,0.5294,7.7671,9662.69
138,99360,-7.2,0.6471,9.7078,9781.25
139,100080,-7.22,0.0,10.471,9896.57
140,100800,-7.22,1.2778,8.6177,10012.8
141,101520,-7.2,0.7143,8.0877,10129.61
142,102240,-7.2,0.0,10.8252,10250.63
143,102960,-7.2,1.3333,5.8499,10369.87
144,103680,-7.25,1.2857,8.398,10489.9
145,104400,-7.18,1.0,8.8756,10605.36
146,105120,-7.24,0.3529,6.9436,10721.71
147,105840,-7.23,0.75,7.4547,10839.87
148,106560,-7.24,0.5625,7.8809,10956.58
149,107280,-7.18,0.25,7.8023,11075.95
150,108000,-7.18,0.3571,9.5358,11189.7
151,108720,-7.18,0.8,7.8895,11308.68
152,109440,-7.25,0.3125,8.8858,11428.15
153,110160,-7.33,0.8333,6.7381,11546.17
154,110880,-7.22,0.5714,9.1905,11591.12
155,111600,-7.18,1.1875,8.6082,11623.71
156,112320,-7.34,0.6429,9.0524,11663.53
157,113040,-7.18,1.0667,7.6843,11695.89
158,113760,-7.2,0.2857,9.5056,11731.58
159,114480,-7.18,1.2143,10.7868,11764.82
160,115200,-7.33,0.5882,7.8667,11804.05
161,115920,-7.2,0.2353,9.4422,11847.58
162,116640,-7.18,1.0526,7.68,11885.88
163,117360,-7.18,1.2941,8.8276,11918.36
164,118080,-7.18,0.4,9.2228,11950.15
165,118800,-7.18,1.1667,8.5677,11984.91
166,119520,-7.2,0.0,8.9057,12024.21
167,120240,-7.18,0.7333,9.3804,12069.08
168,120960,-7.18,0.0,9.2591,12111.37
169,121680,-7.18,0.6667,8.4285,12153.62
170,122400,-7.18,0.7333,8.6805,12195.61
171,123120,-7.18,1.0909,7.4008,12236.91
172,123840,-7.22,0.7333,10.0715,12274.64
173,124560,-7.2,0.0,11.0447,12317.63
174,125280,-7.18,0.1429,10.188,12360.55
175,126000,-7.18,0.5455,11.7082,12402.96
176,126720,-7.27,0.8667,8.1909,12443.54
177,127440,-7.2,5.4615,8.8841,12481.55
178,128160,-7.18,0.0,10.0492,12522.23
179,128880,-7.18,0.95,7.9086,12563.38
180,129600,-7.2,0.0,10.9667,12602.4
181,130320,-7.18,0.3158,8.1498,12644.0
182,131040,-7.23,0.2632,8.0291,12680.76
183,131760,-7.18,0.4167,7.9948,12718.88
184,132480,-7.2,0.4375,9.6994,12756.8
185,133200,-7.22,0.0,8.4402,12800.07
186,133920,-7.2,0.0,10.3279,12841.58
187,134640,-7.18,0.3571,10.8905,12882.96
188,135360,-7.18,1.4,8.1519,12923.86
189,136080,-7.18,0.4615,10.086,12963.46
190,136800,-7.23,0.8125,7.2624,13002.51
191,137520,-7.18,0.5385,10.4242,13039.53
