episode,timestep,reward,waiting_time,mean_speed,elapsed_s
1,720,-4.68,6.7381,1.5334,15.04
2,1440,-4.68,0.9762,5.346,28.39
3,2160,-5.06,1.1282,3.5784,41.52
4,2880,-3.56,0.9677,4.1197,52.19
5,3600,-0.7,1.619,4.3933,62.3
6,4320,-0.81,3.7368,5.3246,71.44
7,5040,-1.5,0.7778,3.9113,82.6
8,5760,-0.44,0.4545,7.2717,93.28
9,6480,-0.07,0.0,10.1021,103.53
10,7200,-0.85,4.0476,8.5183,113.57
11,7920,-1.27,5.2917,8.0649,123.7
12,8640,-0.44,1.1667,9.2198,133.3
13,9360,-0.3,1.5789,9.6069,144.78
14,10080,0.0,0.0,10.3287,156.02
15,10800,-0.21,1.5,8.1911,169.09
16,11520,-0.11,0.25,9.913,180.13
17,12240,-0.28,0.125,7.2145,191.38
18,12960,-0.07,0.35,10.8292,201.24
19,13680,-0.12,0.6667,8.5971,210.95
20,14400,-0.3,0.0556,7.8264,220.01
21,15120,-0.11,0.2105,8.7621,229.9
22,15840,-0.33,1.1429,7.6189,239.66
23,16560,-0.0,0.0,9.4884,249.1
24,17280,-0.85,1.5714,5.2132,259.51
25,18000,-0.15,0.3478,10.3799,268.98
26,18720,-0.17,0.3158,7.5836,278.7
27,19440,-0.35,1.2632,7.0894,287.95
28,20160,-0.08,0.4211,10.9394,297.35
29,20880,-0.0,0.0,9.1541,306.76
30,21600,-0.38,1.6842,7.8089,316.13
31,22320,-0.0,0.0,8.8609,325.75
32,23040,-0.04,0.1765,8.7915,334.99
33,23760,-0.08,0.0,9.513,344.49
34,24480,-0.39,0.5238,7.0357,353.58
35,25200,-0.48,0.2963,9.4558,363.3
36,25920,-0.31,1.35,7.7281,372.88
37,26640,-0.47,0.0,7.3822,383.08
38,27360,-0.34,0.5,7.6834,393.14
39,28080,-0.06,0.0,9.0638,402.99
40,28800,-0.31,0.0526,7.0938,412.65
41,29520,-0.56,0.0,8.0003,422.38
42,30240,-0.29,0.35,7.8515,432.03
43,30960,-0.07,0.4118,9.7348,442.1
44,31680,-0.73,2.7619,8.5919,451.74
45,32400,-0.9,1.1818,4.1881,460.97
46,33120,-0.51,0.2581,8.979,470.39
47,33840,-0.55,1.5714,6.5437,479.59
48,34560,-0.49,0.8571,6.5173,489.01
49,35280,-0.19,0.0,9.1996,498.9
50,36000,-0.07,0.3333,10.6638,508.63
51,36720,-0.1,0.3684,9.3316,518.75
52,37440,-0.1,0.0,9.4367,528.63
53,38160,-0.12,0.75,8.6872,537.97
54,38880,-0.18,0.9412,8.2918,547.48
55,39600,0.0,0.0,10.0822,556.74
56,40320,-0.47,1.1765,8.9978,565.94
57,41040,-0.05,0.4706,9.7031,575.37
58,41760,-0.54,1.6,6.7372,586.54
59,42480,-0.32,1.3889,7.6075,595.97
60,43200,-0.08,0.5,9.33,605.7
61,43920,0.0,0.0,9.8842,615.87
62,44640,-0.29,0.2273,7.2023,625.53
63,45360,-0.09,0.0,9.7161,635.58
64,46080,-0.17,0.3478,10.38,645.69
65,46800,-0.05,0.5294,10.2324,655.61
66,47520,-0.07,0.0,8.4957,665.0
67,48240,-0.22,0.087,7.8771,674.74
68,48960,-0.14,0.0,8.4894,684.35
69,49680,-0.07,0.0,8.4914,693.71
70,50400,-0.3,1.2222,6.7548,702.92
