episode,timestep,reward,waiting_time,mean_speed,elapsed_s
1,720,-0.77,0.8649,5.3649,49.08
2,1440,-2.09,0.375,3.8983,77.55
3,2160,-2.83,4.5789,2.1467,99.7
4,2880,-2.19,0.7353,4.908,121.05
5,3600,-0.51,0.1892,5.1981,142.78
6,4320,-1.9,0.525,5.3255,163.88
7,5040,-2.29,2.2857,3.5659,185.21
8,5760,-0.62,0.2143,6.7939,206.9
9,6480,-0.2,1.1111,8.2479,224.04
10,7200,-0.8,0.3243,6.2682,242.57
11,7920,-0.52,0.025,4.8353,262.82
12,8640,-0.52,0.0526,7.2906,281.18
13,9360,-1.77,2.6774,2.97,298.64
14,10080,-1.94,0.0789,5.2675,317.59
15,10800,-1.99,0.7353,5.2856,337.55
16,11520,-0.34,0.6471,7.1151,357.2
17,12240,-0.61,1.1053,5.0433,374.77
18,12960,-0.33,0.2759,8.6108,393.89
19,13680,-1.14,1.1,6.1685,414.45
20,14400,-1.04,0.8205,3.5042,435.17
21,15120,-0.26,0.0323,8.3065,453.81
22,15840,-0.85,0.8929,3.8471,472.37
23,16560,-0.93,0.7222,3.913,492.98
24,17280,-0.44,0.2273,7.1734,511.01
25,18000,-0.44,0.2581,8.4785,529.02
26,18720,-0.74,0.1667,5.0794,547.78
27,19440,-0.89,0.2368,4.7328,568.27
28,20160,-1.03,0.25,4.8979,586.81
29,20880,-0.32,0.1724,7.7572,605.8
30,21600,-0.8,0.697,4.1327,625.12
31,22320,-0.18,0.037,8.2826,645.66
32,23040,-0.54,0.3103,8.347,662.61
33,23760,-0.42,0.9583,7.1711,682.87
34,24480,-0.67,0.8667,5.5769,700.86
35,25200,-0.65,1.44,5.2071,720.88
36,25920,-0.39,0.0312,7.1909,740.23
37,26640,-1.27,0.2778,4.7118,757.78
38,27360,-0.57,0.6176,5.7305,777.48
39,28080,-1.46,1.119,5.3915,799.2
40,28800,-0.14,0.7368,8.7933,814.4
41,29520,-0.47,0.0,7.9469,828.91
42,30240,-0.58,0.375,5.2987,849.94
43,30960,-0.73,0.1026,5.4862,870.07
44,31680,-0.86,0.8462,4.8045,887.47
45,32400,-0.47,0.2667,8.247,904.8
46,33120,-0.28,0.2963,10.4529,923.47
47,33840,-0.28,0.3462,9.7784,941.62
48,34560,-0.12,0.3462,10.5412,959.14
49,35280,-0.79,0.4211,6.3472,975.69
50,36000,-0.59,0.125,7.0833,994.59
51,36720,-0.19,0.05,8.2246,1012.53
52,37440,-0.4,1.3684,6.3279,1027.64
53,38160,-0.84,0.8235,4.563,1047.36
54,38880,-0.88,0.5758,4.1814,1067.38
55,39600,-0.08,0.381,10.7655,1082.32
56,40320,-0.58,0.2105,7.0291,1099.64
57,41040,-0.49,0.2903,8.8222,1120.89
58,41760,-0.08,0.0,8.1076,1139.33
59,42480,-0.24,1.1667,8.3966,1153.37
60,43200,-0.19,0.2759,10.1965,1171.83
61,43920,-0.49,0.0303,8.0747,1191.45
62,44640,-0.87,2.4286,8.4787,1213.76
63,45360,-0.31,1.0455,8.1081,1228.04
64,46080,-0.65,1.0,5.913,1246.52
65,46800,-0.59,0.2424,8.5806,1264.83
66,47520,-0.01,0.0625,8.825,1279.87
67,48240,-0.13,0.3077,10.8146,1296.3
68,48960,-0.9,0.2353,5.4217,1314.01
69,49680,-0.08,0.0556,8.3772,1332.09
