episode,timestep,reward,waiting_time,mean_speed,elapsed_s
1,720,-6.3,2.6154,2.3887,25.33
2,1440,-2.81,1.4048,5.8224,46.82
3,2160,-0.35,0.037,8.6123,64.61
4,2880,-2.03,2.7931,6.0112,82.52
5,3600,-0.23,0.2857,8.641,97.09
6,4320,-2.52,3.1481,3.1501,114.35
7,5040,-0.9,0.0345,7.0432,130.04
8,5760,-0.07,0.3182,10.8566,146.22
9,6480,-0.06,0.0,8.4139,161.19
10,7200,-0.14,0.8235,8.9065,174.68
11,7920,-0.33,0.3125,5.8844,189.6
12,8640,-0.55,0.16,7.753,205.01
13,9360,-0.21,1.25,7.8369,220.22
14,10080,-0.15,0.3913,10.2262,234.9
15,10800,-0.26,0.0,8.1496,248.08
16,11520,-0.15,0.0833,8.2393,263.67
17,12240,-0.14,0.3043,10.5521,278.51
18,12960,-0.07,0.3333,10.9335,292.62
19,13680,-0.11,0.0,9.6797,307.99
20,14400,-0.33,0.4118,6.5805,321.49
21,15120,-0.29,1.45,9.6174,335.15
22,15840,-0.16,0.8421,8.7608,350.35
23,16560,-0.2,0.0,9.9608,364.06
24,17280,-0.23,0.3333,10.2501,379.35
25,18000,-0.32,0.0,7.9277,392.74
26,18720,-0.28,0.0714,6.1625,405.87
27,19440,-0.23,0.45,8.5549,419.03
28,20160,-0.27,0.1,7.3359,431.77
29,20880,-0.02,0.1053,8.9622,445.85
30,21600,-0.13,0.7647,8.8423,458.98
31,22320,-0.1,0.0,9.7912,474.25
32,23040,-0.18,0.9474,8.767,488.18
33,23760,-0.0,0.0,9.1439,503.37
34,24480,-0.19,0.0,9.2155,518.09
35,25200,-0.07,0.3043,10.917,566.35
36,25920,-0.24,0.25,8.2764,612.85
37,26640,-0.0,0.0,9.9151,653.11
38,27360,-0.33,0.2353,6.5887,695.62
39,28080,-0.01,0.0556,9.0876,738.89
40,28800,-0.08,0.4706,10.6826,782.3
41,29520,-0.22,1.1176,7.9792,826.97
42,30240,-0.12,0.0,9.946,873.19
43,30960,-0.12,0.4091,10.7811,919.81
44,31680,-0.01,0.0667,10.061,964.0
45,32400,-0.17,0.0,9.5423,1006.05
46,33120,-0.16,0.0,9.5357,1047.16
47,33840,-0.07,0.0,7.9541,1087.97
48,34560,-0.09,0.45,10.6119,1129.11
49,35280,-0.49,0.8571,6.3792,1171.79
50,36000,-0.09,0.4286,10.8314,1217.06
51,36720,-0.07,0.0,9.7037,1261.65
52,37440,-0.24,1.1053,7.775,1304.32
53,38160,-0.0,0.0,10.2594,1346.44
54,38880,-0.18,0.2917,10.5033,1393.12
55,39600,-0.32,0.2222,6.9784,1436.8
56,40320,-0.29,0.3125,5.75,1483.59
57,41040,-0.01,0.0,9.2152,1527.44
58,41760,-0.11,0.0,9.8388,1572.27
59,42480,0.0,0.0,10.4381,1620.35
60,43200,-0.02,0.1,8.8564,1664.99
61,43920,-0.11,0.0,9.7734,1707.89
62,44640,-0.24,0.0,8.997,1753.03
63,45360,-0.1,0.0,9.4322,1794.56
64,46080,-0.01,0.0526,9.4551,1840.71
65,46800,-0.57,2.4783,9.2446,1885.39
66,47520,-0.1,0.0,9.6892,1929.82
67,48240,-0.28,1.1053,7.9994,1952.45
68,48960,-0.33,0.5,6.2825,1970.7
69,49680,-0.06,0.0,9.9283,1989.24
70,50400,-0.5,0.8095,6.3557,2029.95
