episode,timestep,reward,waiting_time,mean_speed,elapsed_s
1,720,-7.54,1.7949,3.1768,13.11
2,1440,-5.93,0.7778,3.0473,25.51
3,2160,-3.84,6.439,1.5502,38.08
4,2880,-4.72,0.3,3.9528,59.77
5,3600,-1.57,0.8889,5.1359,78.8
6,4320,-0.65,1.7273,9.9528,100.24
7,5040,-0.69,0.6286,6.6293,120.98
8,5760,-0.56,0.1795,5.4411,140.91
9,6480,-0.68,0.225,5.8513,160.95
10,7200,-1.93,0.5263,5.4155,179.96
11,7920,-5.71,4.8378,2.1749,200.6
12,8640,-0.54,0.6389,5.2134,220.12
13,9360,-2.45,0.3947,4.5628,240.23
14,10080,-2.07,0.4359,4.3377,261.04
15,10800,-6.55,10.4048,1.5505,277.76
16,11520,-5.44,2.3421,5.3328,296.94
17,12240,-3.06,2.5476,5.4941,315.96
18,12960,-2.33,0.0571,7.3811,335.9
19,13680,-1.28,0.3611,7.1558,355.55
20,14400,-4.37,0.2895,4.4544,374.03
21,15120,-0.79,0.1622,7.1752,394.05
22,15840,-0.57,1.0882,6.4812,412.23
23,16560,-2.32,1.3333,4.9557,429.96
24,17280,-0.36,0.25,8.6632,446.37
25,18000,-6.23,0.6667,5.4298,467.16
26,18720,-2.61,3.4333,5.8342,484.58
27,19440,-2.28,1.2619,5.3108,503.46
28,20160,-1.61,0.0882,7.7446,523.86
29,20880,-1.32,2.5294,4.9829,541.16
30,21600,-5.76,2.5946,2.558,559.46
31,22320,-0.79,1.0,6.1285,576.8
32,23040,-0.51,0.05,8.7639,594.03
33,23760,-1.03,0.2759,5.9104,609.0
34,24480,-3.61,0.2895,4.4057,626.1
35,25200,-0.53,0.4615,7.6273,641.1
36,25920,-0.84,0.069,7.3121,657.62
37,26640,-0.98,0.8571,8.4722,676.43
38,27360,-2.04,3.9,5.8536,696.63
39,28080,-1.36,1.1333,3.3748,713.06
40,28800,-2.13,1.5385,4.9524,731.07
41,29520,-0.94,0.8485,9.1803,747.09
42,30240,-0.41,0.8056,6.0965,766.52
43,30960,-0.33,0.0294,7.9608,785.65
44,31680,-2.22,2.1333,3.3943,807.65
45,32400,-0.59,0.3529,6.8356,826.11
46,33120,-2.35,2.5122,2.7888,846.47
47,33840,-1.75,0.3611,5.005,865.09
48,34560,-0.63,0.2667,9.2817,881.8
49,35280,-1.99,5.3714,3.5998,901.7
50,36000,-0.82,0.2667,7.9773,919.54
51,36720,-0.95,0.5238,6.4843,940.17
52,37440,-1.49,1.1212,3.6597,959.66
53,38160,-1.43,0.5526,6.5267,978.58
54,38880,-0.87,0.5882,6.5952,997.53
55,39600,-0.62,0.8519,5.8155,1014.99
56,40320,-2.36,1.0278,3.0384,1032.27
57,41040,-1.28,0.8333,4.0765,1050.5
58,41760,-1.75,1.6552,3.2748,1069.38
59,42480,-0.55,0.0,7.8654,1085.93
60,43200,-1.67,0.15,4.2142,1106.04
61,43920,-1.0,0.5,4.2899,1126.51
62,44640,-1.18,0.9231,3.4752,1146.1
63,45360,-1.2,0.325,4.2857,1165.25
64,46080,-1.03,0.125,4.5969,1186.05
65,46800,-1.84,0.6,4.2582,1206.04
66,47520,-1.57,0.1,4.4905,1225.83
67,48240,-1.68,0.325,4.0014,1248.27
68,48960,-2.45,1.875,2.461,1268.9
69,49680,-2.22,0.3,3.812,1287.6
70,50400,-1.41,0.3571,3.6106,1308.32
